date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:17:57	8661/8661	---M-Z	200	added ('OK')	image/svg+xml	etag:%2221d5-65507579-96c22eb68faf8156;gz%22	https://tfhtml.themepul.com/fitmas/assets/img/icon/feature-icon1-3.svg	C:/Users/user/OneDrive/Desktop/master/tfhtml.themepul.com/fitmas/assets/img/icon/feature-icon1-3.svg	(from https://tfhtml.themepul.com/fitmas/index.html)
14:17:58	48557/48557	---M--	200	added ('OK')	image/png	etag:%22bdad-65507580-43feb99d66f7a9cc;;;%22	https://tfhtml.themepul.com/fitmas/assets/img/normal/about_1-2.png	C:/Users/user/OneDrive/Desktop/master/tfhtml.themepul.com/fitmas/assets/img/normal/about_1-2.png	(from https://tfhtml.themepul.com/fitmas/index.html)
14:17:58	170534/170534	---M--	200	added ('OK')	image/png	etag:%2229a26-65507580-74469008b0440a2a;;;%22	https://tfhtml.themepul.com/fitmas/assets/img/normal/about_1-1.png	C:/Users/user/OneDrive/Desktop/master/tfhtml.themepul.com/fitmas/assets/img/normal/about_1-1.png	(from https://tfhtml.themepul.com/fitmas/index.html)
14:17:58	6714/6714	---M-Z	200	added ('OK')	image/svg+xml	etag:%221a3a-6550757e-9658431e160002c6;gz%22	https://tfhtml.themepul.com/fitmas/assets/img/icon/about-icon.svg	C:/Users/user/OneDrive/Desktop/master/tfhtml.themepul.com/fitmas/assets/img/icon/about-icon.svg	(from https://tfhtml.themepul.com/fitmas/index.html)
14:17:59	6784/6784	---M--	200	added ('OK')	image/png	etag:%221a80-6550758c-e61fc60215d478a0;;;%22	https://tfhtml.themepul.com/fitmas/assets/img/bg/sec-shape-top.png	C:/Users/user/OneDrive/Desktop/master/tfhtml.themepul.com/fitmas/assets/img/bg/sec-shape-top.png	(from https://tfhtml.themepul.com/fitmas/index.html)
14:17:59	237806/237806	---M--	200	added ('OK')	image/png	etag:%223a0ee-6550758d-9398bc6f58acb1f0;;;%22	https://tfhtml.themepul.com/fitmas/assets/img/bg/service-bg.png	C:/Users/user/OneDrive/Desktop/master/tfhtml.themepul.com/fitmas/assets/img/bg/service-bg.png	(from https://tfhtml.themepul.com/fitmas/index.html)
14:17:59	4491/4491	---M-Z	200	added ('OK')	image/svg+xml	etag:%22118b-6550757c-4a6fe922e2958ccc;gz%22	https://tfhtml.themepul.com/fitmas/assets/img/icon/service-icon_1-1.svg	C:/Users/user/OneDrive/Desktop/master/tfhtml.themepul.com/fitmas/assets/img/icon/service-icon_1-1.svg	(from https://tfhtml.themepul.com/fitmas/index.html)
14:17:59	7030/7030	---M-Z	200	added ('OK')	image/svg+xml	etag:%221b76-6550757c-e2de0798c10bb6;gz%22	https://tfhtml.themepul.com/fitmas/assets/img/icon/service-icon_1-2.svg	C:/Users/user/OneDrive/Desktop/master/tfhtml.themepul.com/fitmas/assets/img/icon/service-icon_1-2.svg	(from https://tfhtml.themepul.com/fitmas/index.html)
14:18:00	1820/1820	---M-Z	200	added ('OK')	image/svg+xml	etag:%2271c-6550757c-d8f414d54ded6812;gz%22	https://tfhtml.themepul.com/fitmas/assets/img/icon/service-icon_1-3.svg	C:/Users/user/OneDrive/Desktop/master/tfhtml.themepul.com/fitmas/assets/img/icon/service-icon_1-3.svg	(from https://tfhtml.themepul.com/fitmas/index.html)
14:18:00	2856/2856	---M-Z	200	added ('OK')	image/svg+xml	etag:%22b28-6550757b-fdca44f56bc27b30;gz%22	https://tfhtml.themepul.com/fitmas/assets/img/icon/service-icon_1-4.svg	C:/Users/user/OneDrive/Desktop/master/tfhtml.themepul.com/fitmas/assets/img/icon/service-icon_1-4.svg	(from https://tfhtml.themepul.com/fitmas/index.html)
14:18:01	154923/154923	---M--	200	added ('OK')	image/png	etag:%2225d2b-65507582-a55c1d4d622f0b33;;;%22	https://tfhtml.themepul.com/fitmas/assets/img/normal/wcu_1-2.png	C:/Users/user/OneDrive/Desktop/master/tfhtml.themepul.com/fitmas/assets/img/normal/wcu_1-2.png	(from https://tfhtml.themepul.com/fitmas/index.html)
14:18:01	38648/38648	---M--	200	added ('OK')	image/png	etag:%2296f8-65507583-5317334aa5a9a03a;;;%22	https://tfhtml.themepul.com/fitmas/assets/img/normal/wcu_1-1.png	C:/Users/user/OneDrive/Desktop/master/tfhtml.themepul.com/fitmas/assets/img/normal/wcu_1-1.png	(from https://tfhtml.themepul.com/fitmas/index.html)
14:18:01	8982/8982	---M-Z	200	added ('OK')	image/svg+xml	etag:%222316-65507578-9ba6dd581f7ecafb;gz%22	https://tfhtml.themepul.com/fitmas/assets/img/icon/wcu-icon_1-1.svg	C:/Users/user/OneDrive/Desktop/master/tfhtml.themepul.com/fitmas/assets/img/icon/wcu-icon_1-1.svg	(from https://tfhtml.themepul.com/fitmas/index.html)
14:18:01	6613/6613	---M--	200	added ('OK')	image/png	etag:%2219d5-6550758b-be1081aab2a97ec7;;;%22	https://tfhtml.themepul.com/fitmas/assets/img/bg/sec-shape-bottom.png	C:/Users/user/OneDrive/Desktop/master/tfhtml.themepul.com/fitmas/assets/img/bg/sec-shape-bottom.png	(from https://tfhtml.themepul.com/fitmas/index.html)
14:18:02	4416/4416	---M-Z	200	added ('OK')	image/svg+xml	etag:%221140-6550757a-6d313f60b0ddf93f;gz%22	https://tfhtml.themepul.com/fitmas/assets/img/icon/service-icon_2-1.svg	C:/Users/user/OneDrive/Desktop/master/tfhtml.themepul.com/fitmas/assets/img/icon/service-icon_2-1.svg	(from https://tfhtml.themepul.com/fitmas/index.html)
14:18:02	3498/3498	---M-Z	200	added ('OK')	image/svg+xml	etag:%22daa-6550757a-a5d9bad263542794;gz%22	https://tfhtml.themepul.com/fitmas/assets/img/icon/service-icon_2-2.svg	C:/Users/user/OneDrive/Desktop/master/tfhtml.themepul.com/fitmas/assets/img/icon/service-icon_2-2.svg	(from https://tfhtml.themepul.com/fitmas/index.html)
14:18:02	9060/9060	---M-Z	200	added ('OK')	image/svg+xml	etag:%222364-65507579-9856084346ae50d3;gz%22	https://tfhtml.themepul.com/fitmas/assets/img/icon/service-icon_2-3.svg	C:/Users/user/OneDrive/Desktop/master/tfhtml.themepul.com/fitmas/assets/img/icon/service-icon_2-3.svg	(from https://tfhtml.themepul.com/fitmas/index.html)
14:18:03	4879/4879	---M-Z	200	added ('OK')	image/svg+xml	etag:%22130f-6550757e-9d4bbdeb5ade0616;gz%22	https://tfhtml.themepul.com/fitmas/assets/img/icon/counter-icon_1-1.svg	C:/Users/user/OneDrive/Desktop/master/tfhtml.themepul.com/fitmas/assets/img/icon/counter-icon_1-1.svg	(from https://tfhtml.themepul.com/fitmas/index.html)
14:18:03	176267/176267	---M--	200	added ('OK')	image/png	etag:%222b08b-6550758c-951c428d448242c8;;;%22	https://tfhtml.themepul.com/fitmas/assets/img/bg/counter-bg1.png	C:/Users/user/OneDrive/Desktop/master/tfhtml.themepul.com/fitmas/assets/img/bg/counter-bg1.png	(from https://tfhtml.themepul.com/fitmas/index.html)
14:18:03	15126/15126	---M-Z	200	added ('OK')	image/svg+xml	etag:%223b16-6550757e-17c8b5562c06cf94;gz%22	https://tfhtml.themepul.com/fitmas/assets/img/icon/counter-icon_1-2.svg	C:/Users/user/OneDrive/Desktop/master/tfhtml.themepul.com/fitmas/assets/img/icon/counter-icon_1-2.svg	(from https://tfhtml.themepul.com/fitmas/index.html)
14:18:04	7160/7160	---M-Z	200	added ('OK')	image/svg+xml	etag:%221bf8-6550757e-3ddaf1fb6b06b62e;gz%22	https://tfhtml.themepul.com/fitmas/assets/img/icon/counter-icon_1-3.svg	C:/Users/user/OneDrive/Desktop/master/tfhtml.themepul.com/fitmas/assets/img/icon/counter-icon_1-3.svg	(from https://tfhtml.themepul.com/fitmas/index.html)
14:18:04	7323/7323	---M-Z	200	added ('OK')	image/svg+xml	etag:%221c9b-6550757e-4136ae17a495a4e3;gz%22	https://tfhtml.themepul.com/fitmas/assets/img/icon/counter-icon_1-4.svg	C:/Users/user/OneDrive/Desktop/master/tfhtml.themepul.com/fitmas/assets/img/icon/counter-icon_1-4.svg	(from https://tfhtml.themepul.com/fitmas/index.html)
14:18:04	34226/34226	---M--	200	added ('OK')	image/png	etag:%2285b2-65507592-40bb455188cc1698;;;%22	https://tfhtml.themepul.com/fitmas/assets/img/team/team-1.png	C:/Users/user/OneDrive/Desktop/master/tfhtml.themepul.com/fitmas/assets/img/team/team-1.png	(from https://tfhtml.themepul.com/fitmas/index.html)
